河北电信-组播1,#genre#
CETV-4职业教育,http://960207.xyz:8188/rtp/239.254.200.227:6261
老故事,http://960207.xyz:8188/rtp/239.254.200.104:6237
中学生,http://960207.xyz:8188/rtp/239.254.200.113:6243
江苏优漫卡通,http://960207.xyz:8188/rtp/239.254.201.203:7178
北京卡酷少儿,http://960207.xyz:8188/rtp/239.254.200.91:9248
上海东方财经,http://960207.xyz:8188/rtp/239.254.201.181:7214
上海动漫秀场,http://960207.xyz:8188/rtp/239.254.201.165:6358
上海游戏风云,http://960207.xyz:8188/rtp/239.254.201.163:6354
上海法治天地,http://960207.xyz:8188/rtp/239.254.201.183:7226
上海都市剧场,http://960207.xyz:8188/rtp/239.254.201.167:6360
上海金色学堂,http://960207.xyz:8188/rtp/239.254.201.182:7227
上海生活时尚,http://960207.xyz:8188/rtp/239.254.201.166:6359
河南梨园,http://960207.xyz:8188/rtp/239.254.201.231:7228
河南武术世界,http://960207.xyz:8188/rtp/239.254.201.224:7229
河南文物宝库,http://960207.xyz:8188/rtp/239.254.201.227:7230
湖北快乐垂钓,http://960207.xyz:8188/rtp/239.254.200.229:6257
湖南金鹰纪实,http://960207.xyz:8188/rtp/239.254.200.189:6293
湖南金鹰卡通,http://960207.xyz:8188/rtp/239.254.200.92:9252
广东嘉佳卡通,http://960207.xyz:8188/rtp/239.254.201.201:7269
贵州天元围棋,http://960207.xyz:8188/rtp/239.254.201.156:6270

北京卫视4K超,http://960207.xyz:8188/rtp/239.254.201.68:6000
石家庄城市服务,http://960207.xyz:8188/rtp/239.254.200.30:6000
石家庄文化娱乐,http://960207.xyz:8188/rtp/239.254.200.29:6000
石家庄新闻综合,http://960207.xyz:8188/rtp/239.254.200.157:6000
唐山公共频道,http://960207.xyz:8188/rtp/239.254.200.169:6000
唐山影视频道,http://960207.xyz:8188/rtp/239.254.200.168:6000
唐山新闻综合,http://960207.xyz:8188/rtp/239.254.200.166:6000
唐山生活服务,http://960207.xyz:8188/rtp/239.254.200.167:6000
秦皇岛公共频道,http://960207.xyz:8188/rtp/239.254.200.40:6000
秦皇岛新闻综合,http://960207.xyz:8188/rtp/239.254.200.39:6000
邯郸公共频道,http://960207.xyz:8188/rtp/239.254.200.154:6000
邯郸新闻综合,http://960207.xyz:8188/rtp/239.254.200.153:6000
邯郸科技教育,http://960207.xyz:8188/rtp/239.254.200.155:6000
邢台城市生活,http://960207.xyz:8188/rtp/239.254.200.152:6000
邢台综合频道,http://960207.xyz:8188/rtp/239.254.200.150:6000
保定公共频道,http://960207.xyz:8188/rtp/239.254.200.145:6000
保定新闻综合,http://960207.xyz:8188/rtp/239.254.200.144:6000
保定生活健康,http://960207.xyz:8188/rtp/239.254.200.146:6000
张家口公共,http://960207.xyz:8188/rtp/239.254.200.36:6000
张家口新闻综合,http://960207.xyz:8188/rtp/239.254.200.35:6000
承德新闻综合,http://960207.xyz:8188/rtp/239.254.200.32:6000
承德旅游文化,http://960207.xyz:8188/rtp/239.254.200.33:6000
沧州公共频道,http://960207.xyz:8188/rtp/239.254.200.43:6000
沧州影视娱乐,http://960207.xyz:8188/rtp/239.254.200.44:6000
沧州新闻综合,http://960207.xyz:8188/rtp/239.254.200.42:6000
廊坊新闻综合,http://960207.xyz:8188/rtp/239.254.200.183:6000
廊坊生活频道,http://960207.xyz:8188/rtp/239.254.200.184:6000
衡水新闻综合,http://960207.xyz:8188/rtp/239.254.200.147:6000
衡水经济科教,http://960207.xyz:8188/rtp/239.254.200.149:6000
上海乐游频道,http://960207.xyz:8188/rtp/239.254.201.200:6356

CCTV4K超,http://960207.xyz:8188/rtp/239.254.201.67:6000
三河综合频道,http://960207.xyz:8188/rtp/239.254.201.113:5315
东光电视,http://960207.xyz:8188/rtp/239.254.201.76:5331
中国交通频道,http://960207.xyz:8188/rtp/239.254.201.110:5181
中式八球国际公开赛,http://960207.xyz:8188/rtp/239.254.200.187:6000
丰南电视,http://960207.xyz:8188/rtp/239.254.200.218:5186
丰宁电视,http://960207.xyz:8188/rtp/239.254.200.5:5290
丰润电视,http://960207.xyz:8188/rtp/239.254.201.58:5197
临时直播频道2,http://960207.xyz:8188/rtp/239.254.201.65:6000
临时直播频道3,http://960207.xyz:8188/rtp/239.254.201.66:6000
临漳电视台,http://960207.xyz:8188/rtp/239.254.201.73:5221
乐亭电视,http://960207.xyz:8188/rtp/239.254.201.107:5200
九屏直播频道,http://960207.xyz:8188/rtp/239.254.200.248:6000
井陉矿区电视台,http://960207.xyz:8188/rtp/239.254.201.14:5175
井陉综合频道,http://960207.xyz:8188/rtp/239.254.201.215:6167
任县电视,http://960207.xyz:8188/rtp/239.254.201.115:5381
兴隆综合频道,http://960207.xyz:8188/rtp/239.254.201.95:5295
冀州电视,http://960207.xyz:8188/rtp/239.254.200.179:5346
内丘电视台,http://960207.xyz:8188/rtp/239.254.201.77:5380
南和电视,http://960207.xyz:8188/rtp/239.254.201.72:6000
南宫电视,http://960207.xyz:8188/rtp/239.254.201.48:5371
南皮电视,http://960207.xyz:8188/rtp/239.254.201.119:5335
卢龙电视,http://960207.xyz:8188/rtp/239.254.201.216:5233
双滦电视,http://960207.xyz:8188/rtp/239.254.201.63:5293
吴桥综合频道,http://960207.xyz:8188/rtp/239.254.201.138:5337
唐县综合频道,http://960207.xyz:8188/rtp/239.254.201.41:5264
大厂融媒体中心,http://960207.xyz:8188/rtp/239.254.201.71:5310
大名电视,http://960207.xyz:8188/rtp/239.254.201.149:6212
大城电视,http://960207.xyz:8188/rtp/239.254.201.34:5308
央视精品,http://960207.xyz:8188/rtp/239.254.201.229:7260
孟村电视,http://960207.xyz:8188/rtp/239.254.201.38:5329
宁晋电视,http://960207.xyz:8188/rtp/239.254.201.51:5375
安平电视,http://960207.xyz:8188/rtp/239.254.201.42:5348
安新电视,http://960207.xyz:8188/rtp/239.254.201.99:6255
定兴电视,http://960207.xyz:8188/rtp/239.254.200.172:5246
定州新闻综合,http://960207.xyz:8188/rtp/239.254.201.74:6251
容城电视,http://960207.xyz:8188/rtp/239.254.201.102:6256
崇礼电视台,http://960207.xyz:8188/rtp/239.254.201.117:5267
平乡电视,http://960207.xyz:8188/rtp/239.254.201.53:5378
平泉综合频道,http://960207.xyz:8188/rtp/239.254.200.177:5286
广宗电视,http://960207.xyz:8188/rtp/239.254.201.50:5373
广平电视,http://960207.xyz:8188/rtp/239.254.201.70:5220
康保综合频道,http://960207.xyz:8188/rtp/239.254.201.135:5270
张北普清,http://960207.xyz:8188/rtp/239.254.201.130:5271
徐水电视台,http://960207.xyz:8188/rtp/239.254.201.147:6260
成安综合频道,http://960207.xyz:8188/rtp/239.254.201.143:6210
抚宁电视,http://960207.xyz:8188/rtp/239.254.201.213:5232
故城电视,http://960207.xyz:8188/rtp/239.254.201.126:5362
昌黎电视,http://960207.xyz:8188/rtp/239.254.201.61:5230
晋州综合频道,http://960207.xyz:8188/rtp/239.254.201.127:5184
景县综合频道,http://960207.xyz:8188/rtp/239.254.200.240:5350
曲阳综合频道,http://960207.xyz:8188/rtp/239.254.200.242:5265
望都电视,http://960207.xyz:8188/rtp/239.254.201.56:6246
枣强综合频道,http://960207.xyz:8188/rtp/239.254.201.136:5363
柏乡综合频道,http://960207.xyz:8188/rtp/239.254.201.140:5383
栾城电视,http://960207.xyz:8188/rtp/239.254.200.215:5173
武安新闻综合,http://960207.xyz:8188/rtp/239.254.201.6:5216
永清综合频道,http://960207.xyz:8188/rtp/239.254.201.141:5316
涉县综合频道,http://960207.xyz:8188/rtp/239.254.201.97:5222
涞水综合频道,http://960207.xyz:8188/rtp/239.254.201.10:5250
涞源综合频道,http://960207.xyz:8188/rtp/239.254.200.213:5260
涿州综合频道,http://960207.xyz:8188/rtp/239.254.201.17:5261
涿鹿电视,http://960207.xyz:8188/rtp/239.254.201.145:5272
深州新闻综合,http://960207.xyz:8188/rtp/239.254.201.46:5357
深泽综合频道,http://960207.xyz:8188/rtp/239.254.201.108:5180
清河电视台,http://960207.xyz:8188/rtp/239.254.200.170:5366
满城电视,http://960207.xyz:8188/rtp/239.254.200.222:5252
滦南综合频道,http://960207.xyz:8188/rtp/239.254.201.22:5191
滦州电视,http://960207.xyz:8188/rtp/239.254.201.30:5196
滦平电视,http://960207.xyz:8188/rtp/239.254.201.4:5291
玉田综合频道,http://960207.xyz:8188/rtp/239.254.201.28:5194
盐山电视,http://960207.xyz:8188/rtp/239.254.201.114:5334
睛彩河北,http://960207.xyz:8188/rtp/239.254.200.27:6000
羽毛球专区,http://960207.xyz:8188/rtp/239.254.201.214:7264
肃宁电视,http://960207.xyz:8188/rtp/239.254.201.122:5336
赞皇电视,http://960207.xyz:8188/rtp/239.254.200.244:5177
赤城电视,http://960207.xyz:8188/rtp/239.254.201.131:5269
赵县综合频道,http://960207.xyz:8188/rtp/239.254.201.111:5183
迁安电视,http://960207.xyz:8188/rtp/239.254.201.109:5199
迁西电视,http://960207.xyz:8188/rtp/239.254.201.26:5188
遵化综合频道,http://960207.xyz:8188/rtp/239.254.201.146:5202
邯山电视,http://960207.xyz:8188/rtp/239.254.201.116:5225
阜城电视,http://960207.xyz:8188/rtp/239.254.201.98:5361
阜平电视台,http://960207.xyz:8188/rtp/239.254.201.40:5248
隆化综合频道,http://960207.xyz:8188/rtp/239.254.201.142:5296
隆尧电视,http://960207.xyz:8188/rtp/239.254.201.69:5379
雄县电视台,http://960207.xyz:8188/rtp/239.254.201.94:6254
霸州电视,http://960207.xyz:8188/rtp/239.254.200.4:5313
青县电视,http://960207.xyz:8188/rtp/239.254.201.112:5333
顺平电视,http://960207.xyz:8188/rtp/239.254.201.118:6257
饶阳电视台,http://960207.xyz:8188/rtp/239.254.201.44:5353
馆陶电视,http://960207.xyz:8188/rtp/239.254.201.106:5224
香河电视,http://960207.xyz:8188/rtp/239.254.201.32:5306
高碑店综合频道,http://960207.xyz:8188/rtp/239.254.200.210:5254
高网频道,http://960207.xyz:8188/rtp/239.254.201.223:7252
高邑融媒,http://960207.xyz:8188/rtp/239.254.201.24:5170
高阳电视,http://960207.xyz:8188/rtp/239.254.201.96:6253
魏县综合新闻,http://960207.xyz:8188/rtp/239.254.201.148:6211
鸡泽新闻综合,http://960207.xyz:8188/rtp/239.254.201.60:5218
黄骅电视台,http://960207.xyz:8188/rtp/239.254.201.36:5325

河北电信-组播5,#genre#
河北卫视,http://prozyt.top:4022/rtp/239.254.200.174:6000

河北三佳购物,http://prozyt.top:4022/rtp/239.254.200.143:6000
河北农民,http://prozyt.top:4022/rtp/239.254.200.23:6000
河北少儿科教,http://prozyt.top:4022/rtp/239.254.200.21:6000
河北影视剧频道,http://prozyt.top:4022/rtp/239.254.200.20:6000
河北经济生活,http://prozyt.top:4022/rtp/239.254.200.18:6000
河北都市频道,http://prozyt.top:4022/rtp/239.254.200.19:6000

CCTV-1综合,http://prozyt.top:4022/rtp/239.254.200.45:8008
CCTV-2财经,http://prozyt.top:4022/rtp/239.254.200.158:6000
CCTV-3综艺,http://prozyt.top:4022/rtp/239.254.201.152:7205
CCTV-4中文国际,http://prozyt.top:4022/rtp/239.254.200.190:6307
CCTV-4中文国际欧洲,http://prozyt.top:4022/rtp/239.254.201.205:4220
CCTV-4中文国际美洲,http://prozyt.top:4022/rtp/239.254.201.206:4220
CCTV-5体育,http://prozyt.top:4022/rtp/239.254.201.153:7206
CCTV-5+体育赛事,http://prozyt.top:4022/rtp/239.254.200.46:8004
CCTV-6电影,http://prozyt.top:4022/rtp/239.254.201.154:7207
CCTV-7国防军事,http://prozyt.top:4022/rtp/239.254.200.159:6000
CCTV-8电视剧,http://prozyt.top:4022/rtp/239.254.201.155:7208
CCTV-9纪录,http://prozyt.top:4022/rtp/239.254.200.59:8112
CCTV-10科教,http://prozyt.top:4022/rtp/239.254.200.160:6000
CCTV-11戏曲,http://prozyt.top:4022/rtp/239.254.201.123:8120
CCTV-12社会与法,http://prozyt.top:4022/rtp/239.254.200.161:6000
CCTV-13新闻,http://prozyt.top:4022/rtp/239.254.200.9:8264
CCTV-14少儿,http://prozyt.top:4022/rtp/239.254.200.162:6000
CCTV-15音乐,http://prozyt.top:4022/rtp/239.254.201.124:8136
CCTV-16奥林匹克,http://prozyt.top:4022/rtp/239.254.200.61:6344
CCTV-17农业农村,http://prozyt.top:4022/rtp/239.254.201.120:8144
CCTV4K(SDR),http://prozyt.top:4022/rtp/239.254.200.122:7266
湖南卫视,http://prozyt.top:4022/rtp/239.254.200.48:8012
浙江卫视,http://prozyt.top:4022/rtp/239.254.200.53:8036
江苏卫视,http://prozyt.top:4022/rtp/239.254.200.51:8028
北京卫视,http://prozyt.top:4022/rtp/239.254.200.47:8024
东方卫视,http://prozyt.top:4022/rtp/239.254.200.52:8032
安徽卫视,http://prozyt.top:4022/rtp/239.254.200.163:6000
广东卫视,http://prozyt.top:4022/rtp/239.254.200.56:8048
深圳卫视,http://prozyt.top:4022/rtp/239.254.200.50:8020
辽宁卫视,http://prozyt.top:4022/rtp/239.254.200.57:8056
山东卫视,http://prozyt.top:4022/rtp/239.254.200.55:8052
山东教育卫视,http://prozyt.top:4022/rtp/239.254.200.247:4120
天津卫视,http://prozyt.top:4022/rtp/239.254.200.54:1234
重庆卫视,http://prozyt.top:4022/rtp/239.254.200.203:6323
东南卫视,http://prozyt.top:4022/rtp/239.254.201.13:6291
河南卫视,http://prozyt.top:4022/rtp/239.254.201.16:7174
湖北卫视,http://prozyt.top:4022/rtp/239.254.200.164:6000
陕西卫视,http://prozyt.top:4022/rtp/239.254.200.82:8140
四川卫视,http://prozyt.top:4022/rtp/239.254.200.202:6325
海南卫视,http://prozyt.top:4022/rtp/239.254.201.125:6288
甘肃卫视,http://prozyt.top:4022/rtp/239.254.200.17:8180
广西卫视,http://prozyt.top:4022/rtp/239.254.200.80:8300
贵州卫视,http://prozyt.top:4022/rtp/239.254.201.20:6315
黑龙江卫视,http://prozyt.top:4022/rtp/239.254.200.49:8016
江西卫视,http://prozyt.top:4022/rtp/239.254.201.12:6290
吉林卫视,http://prozyt.top:4022/rtp/239.254.201.15:6339
内蒙古卫视,http://prozyt.top:4022/rtp/239.254.200.84:8176
山西卫视,http://prozyt.top:4022/rtp/239.254.200.83:8172
云南卫视,http://prozyt.top:4022/rtp/239.254.200.68:8108
青海卫视,http://prozyt.top:4022/rtp/239.254.200.85:8184
三沙卫视,http://prozyt.top:4022/rtp/239.254.200.165:4120
凤凰中文,http://prozyt.top:4022/rtp/239.254.201.2:5226
凤凰资讯,http://prozyt.top:4022/rtp/239.254.201.3:5227
凤凰电影,http://prozyt.top:4022/rtp/239.254.201.1:5214
CCTV-风云足球,http://prozyt.top:4022/rtp/239.254.201.222:7251
CCTV-风云音乐,http://prozyt.top:4022/rtp/239.254.201.221:7259
CCTV-第一剧场,http://prozyt.top:4022/rtp/239.254.201.218:7258
CCTV-怀旧剧场,http://prozyt.top:4022/rtp/239.254.201.220:7256
CCTV-怀旧剧场,http://prozyt.top:4022/rtp/239.254.201.220:7256上海
CCTV-风云剧场,http://prozyt.top:4022/rtp/239.254.201.219:7257
CCTV-世界地理,http://prozyt.top:4022/rtp/239.254.201.226:7254
CCTV-电视指南,http://prozyt.top:4022/rtp/239.254.201.217:7250
CCTV-兵器科技,http://prozyt.top:4022/rtp/239.254.201.225:7249
CCTV-女性时尚,http://prozyt.top:4022/rtp/239.254.201.228:7255
CCTV-央视台球,http://prozyt.top:4022/rtp/239.254.201.171:7176
CGTN英语,http://prozyt.top:4022/rtp/239.254.200.12:8056
CGTN西班牙语,http://prozyt.top:4022/rtp/239.254.201.209:4220
CGTN法语,http://prozyt.top:4022/rtp/239.254.201.210:4220
CGTN阿拉伯语,http://prozyt.top:4022/rtp/239.254.201.211:4220
CGTN俄语,http://prozyt.top:4022/rtp/239.254.201.212:4220
CGTN纪录,http://prozyt.top:4022/rtp/239.254.201.208:4220
CETV早期教育,http://prozyt.top:4022/rtp/239.254.201.230:7253
CETV-1综合教育,http://prozyt.top:4022/rtp/239.254.200.225:6259
CETV-2空中课堂,http://prozyt.top:4022/rtp/239.254.200.226:6260
CETV-4职业教育,http://prozyt.top:4022/rtp/239.254.200.227:6261
老故事,http://prozyt.top:4022/rtp/239.254.200.104:6237
中学生,http://prozyt.top:4022/rtp/239.254.200.113:6243
江苏优漫卡通,http://prozyt.top:4022/rtp/239.254.201.203:7178
北京卡酷少儿,http://prozyt.top:4022/rtp/239.254.200.91:9248
上海东方财经,http://prozyt.top:4022/rtp/239.254.201.181:7214
上海动漫秀场,http://prozyt.top:4022/rtp/239.254.201.165:6358
上海游戏风云,http://prozyt.top:4022/rtp/239.254.201.163:6354
上海法治天地,http://prozyt.top:4022/rtp/239.254.201.183:7226
上海都市剧场,http://prozyt.top:4022/rtp/239.254.201.167:6360
上海金色学堂,http://prozyt.top:4022/rtp/239.254.201.182:7227
上海生活时尚,http://prozyt.top:4022/rtp/239.254.201.166:6359
河南梨园,http://prozyt.top:4022/rtp/239.254.201.231:7228
河南武术世界,http://prozyt.top:4022/rtp/239.254.201.224:7229
河南文物宝库,http://prozyt.top:4022/rtp/239.254.201.227:7230
湖北快乐垂钓,http://prozyt.top:4022/rtp/239.254.200.229:6257
湖南金鹰纪实,http://prozyt.top:4022/rtp/239.254.200.189:6293
湖南金鹰卡通,http://prozyt.top:4022/rtp/239.254.200.92:9252
广东嘉佳卡通,http://prozyt.top:4022/rtp/239.254.201.201:7269
贵州天元围棋,http://prozyt.top:4022/rtp/239.254.201.156:6270

北京卫视4K超,http://prozyt.top:4022/rtp/239.254.201.68:6000
石家庄城市服务,http://prozyt.top:4022/rtp/239.254.200.30:6000
石家庄文化娱乐,http://prozyt.top:4022/rtp/239.254.200.29:6000
石家庄新闻综合,http://prozyt.top:4022/rtp/239.254.200.157:6000
唐山公共频道,http://prozyt.top:4022/rtp/239.254.200.169:6000
唐山影视频道,http://prozyt.top:4022/rtp/239.254.200.168:6000
唐山新闻综合,http://prozyt.top:4022/rtp/239.254.200.166:6000
唐山生活服务,http://prozyt.top:4022/rtp/239.254.200.167:6000
秦皇岛公共频道,http://prozyt.top:4022/rtp/239.254.200.40:6000
秦皇岛新闻综合,http://prozyt.top:4022/rtp/239.254.200.39:6000
邯郸公共频道,http://prozyt.top:4022/rtp/239.254.200.154:6000
邯郸新闻综合,http://prozyt.top:4022/rtp/239.254.200.153:6000
邯郸科技教育,http://prozyt.top:4022/rtp/239.254.200.155:6000
邢台城市生活,http://prozyt.top:4022/rtp/239.254.200.152:6000
邢台综合频道,http://prozyt.top:4022/rtp/239.254.200.150:6000
保定公共频道,http://prozyt.top:4022/rtp/239.254.200.145:6000
保定新闻综合,http://prozyt.top:4022/rtp/239.254.200.144:6000
保定生活健康,http://prozyt.top:4022/rtp/239.254.200.146:6000
张家口公共,http://prozyt.top:4022/rtp/239.254.200.36:6000
张家口新闻综合,http://prozyt.top:4022/rtp/239.254.200.35:6000
承德新闻综合,http://prozyt.top:4022/rtp/239.254.200.32:6000
承德旅游文化,http://prozyt.top:4022/rtp/239.254.200.33:6000
沧州公共频道,http://prozyt.top:4022/rtp/239.254.200.43:6000
沧州影视娱乐,http://prozyt.top:4022/rtp/239.254.200.44:6000
沧州新闻综合,http://prozyt.top:4022/rtp/239.254.200.42:6000
廊坊新闻综合,http://prozyt.top:4022/rtp/239.254.200.183:6000
廊坊生活频道,http://prozyt.top:4022/rtp/239.254.200.184:6000
衡水新闻综合,http://prozyt.top:4022/rtp/239.254.200.147:6000
衡水经济科教,http://prozyt.top:4022/rtp/239.254.200.149:6000
上海乐游频道,http://prozyt.top:4022/rtp/239.254.201.200:6356

CCTV4K超,http://prozyt.top:4022/rtp/239.254.201.67:6000
三河综合频道,http://prozyt.top:4022/rtp/239.254.201.113:5315
东光电视,http://prozyt.top:4022/rtp/239.254.201.76:5331
中国交通频道,http://prozyt.top:4022/rtp/239.254.201.110:5181
中式八球国际公开赛,http://prozyt.top:4022/rtp/239.254.200.187:6000
丰南电视,http://prozyt.top:4022/rtp/239.254.200.218:5186
丰宁电视,http://prozyt.top:4022/rtp/239.254.200.5:5290
丰润电视,http://prozyt.top:4022/rtp/239.254.201.58:5197
临时直播频道2,http://prozyt.top:4022/rtp/239.254.201.65:6000
临时直播频道3,http://prozyt.top:4022/rtp/239.254.201.66:6000
临漳电视台,http://prozyt.top:4022/rtp/239.254.201.73:5221
乐亭电视,http://prozyt.top:4022/rtp/239.254.201.107:5200
九屏直播频道,http://prozyt.top:4022/rtp/239.254.200.248:6000
井陉矿区电视台,http://prozyt.top:4022/rtp/239.254.201.14:5175
井陉综合频道,http://prozyt.top:4022/rtp/239.254.201.215:6167
任县电视,http://prozyt.top:4022/rtp/239.254.201.115:5381
兴隆综合频道,http://prozyt.top:4022/rtp/239.254.201.95:5295
冀州电视,http://prozyt.top:4022/rtp/239.254.200.179:5346
内丘电视台,http://prozyt.top:4022/rtp/239.254.201.77:5380
南和电视,http://prozyt.top:4022/rtp/239.254.201.72:6000
南宫电视,http://prozyt.top:4022/rtp/239.254.201.48:5371
南皮电视,http://prozyt.top:4022/rtp/239.254.201.119:5335
卢龙电视,http://prozyt.top:4022/rtp/239.254.201.216:5233
双滦电视,http://prozyt.top:4022/rtp/239.254.201.63:5293
吴桥综合频道,http://prozyt.top:4022/rtp/239.254.201.138:5337
唐县综合频道,http://prozyt.top:4022/rtp/239.254.201.41:5264
大厂融媒体中心,http://prozyt.top:4022/rtp/239.254.201.71:5310
大名电视,http://prozyt.top:4022/rtp/239.254.201.149:6212
大城电视,http://prozyt.top:4022/rtp/239.254.201.34:5308
央视精品,http://prozyt.top:4022/rtp/239.254.201.229:7260
孟村电视,http://prozyt.top:4022/rtp/239.254.201.38:5329
宁晋电视,http://prozyt.top:4022/rtp/239.254.201.51:5375
安平电视,http://prozyt.top:4022/rtp/239.254.201.42:5348
安新电视,http://prozyt.top:4022/rtp/239.254.201.99:6255
定兴电视,http://prozyt.top:4022/rtp/239.254.200.172:5246
定州新闻综合,http://prozyt.top:4022/rtp/239.254.201.74:6251
容城电视,http://prozyt.top:4022/rtp/239.254.201.102:6256
崇礼电视台,http://prozyt.top:4022/rtp/239.254.201.117:5267
平乡电视,http://prozyt.top:4022/rtp/239.254.201.53:5378
平泉综合频道,http://prozyt.top:4022/rtp/239.254.200.177:5286
广宗电视,http://prozyt.top:4022/rtp/239.254.201.50:5373
广平电视,http://prozyt.top:4022/rtp/239.254.201.70:5220
康保综合频道,http://prozyt.top:4022/rtp/239.254.201.135:5270
张北普清,http://prozyt.top:4022/rtp/239.254.201.130:5271
徐水电视台,http://prozyt.top:4022/rtp/239.254.201.147:6260
成安综合频道,http://prozyt.top:4022/rtp/239.254.201.143:6210
抚宁电视,http://prozyt.top:4022/rtp/239.254.201.213:5232
故城电视,http://prozyt.top:4022/rtp/239.254.201.126:5362
昌黎电视,http://prozyt.top:4022/rtp/239.254.201.61:5230
晋州综合频道,http://prozyt.top:4022/rtp/239.254.201.127:5184
景县综合频道,http://prozyt.top:4022/rtp/239.254.200.240:5350
曲阳综合频道,http://prozyt.top:4022/rtp/239.254.200.242:5265
望都电视,http://prozyt.top:4022/rtp/239.254.201.56:6246
枣强综合频道,http://prozyt.top:4022/rtp/239.254.201.136:5363
柏乡综合频道,http://prozyt.top:4022/rtp/239.254.201.140:5383
栾城电视,http://prozyt.top:4022/rtp/239.254.200.215:5173
武安新闻综合,http://prozyt.top:4022/rtp/239.254.201.6:5216
永清综合频道,http://prozyt.top:4022/rtp/239.254.201.141:5316
涉县综合频道,http://prozyt.top:4022/rtp/239.254.201.97:5222
涞水综合频道,http://prozyt.top:4022/rtp/239.254.201.10:5250
涞源综合频道,http://prozyt.top:4022/rtp/239.254.200.213:5260
涿州综合频道,http://prozyt.top:4022/rtp/239.254.201.17:5261
涿鹿电视,http://prozyt.top:4022/rtp/239.254.201.145:5272
深州新闻综合,http://prozyt.top:4022/rtp/239.254.201.46:5357
深泽综合频道,http://prozyt.top:4022/rtp/239.254.201.108:5180
清河电视台,http://prozyt.top:4022/rtp/239.254.200.170:5366
满城电视,http://prozyt.top:4022/rtp/239.254.200.222:5252
滦南综合频道,http://prozyt.top:4022/rtp/239.254.201.22:5191
滦州电视,http://prozyt.top:4022/rtp/239.254.201.30:5196
滦平电视,http://prozyt.top:4022/rtp/239.254.201.4:5291
玉田综合频道,http://prozyt.top:4022/rtp/239.254.201.28:5194
盐山电视,http://prozyt.top:4022/rtp/239.254.201.114:5334
睛彩河北,http://prozyt.top:4022/rtp/239.254.200.27:6000
羽毛球专区,http://prozyt.top:4022/rtp/239.254.201.214:7264
肃宁电视,http://prozyt.top:4022/rtp/239.254.201.122:5336
赞皇电视,http://prozyt.top:4022/rtp/239.254.200.244:5177
赤城电视,http://prozyt.top:4022/rtp/239.254.201.131:5269
赵县综合频道,http://prozyt.top:4022/rtp/239.254.201.111:5183
迁安电视,http://prozyt.top:4022/rtp/239.254.201.109:5199
迁西电视,http://prozyt.top:4022/rtp/239.254.201.26:5188
遵化综合频道,http://prozyt.top:4022/rtp/239.254.201.146:5202
邯山电视,http://prozyt.top:4022/rtp/239.254.201.116:5225
阜城电视,http://prozyt.top:4022/rtp/239.254.201.98:5361
阜平电视台,http://prozyt.top:4022/rtp/239.254.201.40:5248
隆化综合频道,http://prozyt.top:4022/rtp/239.254.201.142:5296
隆尧电视,http://prozyt.top:4022/rtp/239.254.201.69:5379
雄县电视台,http://prozyt.top:4022/rtp/239.254.201.94:6254
霸州电视,http://prozyt.top:4022/rtp/239.254.200.4:5313
青县电视,http://prozyt.top:4022/rtp/239.254.201.112:5333
顺平电视,http://prozyt.top:4022/rtp/239.254.201.118:6257
饶阳电视台,http://prozyt.top:4022/rtp/239.254.201.44:5353
馆陶电视,http://prozyt.top:4022/rtp/239.254.201.106:5224
香河电视,http://prozyt.top:4022/rtp/239.254.201.32:5306
高碑店综合频道,http://prozyt.top:4022/rtp/239.254.200.210:5254
高网频道,http://prozyt.top:4022/rtp/239.254.201.223:7252
高邑融媒,http://prozyt.top:4022/rtp/239.254.201.24:5170
高阳电视,http://prozyt.top:4022/rtp/239.254.201.96:6253
魏县综合新闻,http://prozyt.top:4022/rtp/239.254.201.148:6211
鸡泽新闻综合,http://prozyt.top:4022/rtp/239.254.201.60:5218
黄骅电视台,http://prozyt.top:4022/rtp/239.254.201.36:5325

河北电信-组播6,#genre#
河北卫视,http://share.xlangnan.cn:8189/rtp/239.254.200.174:6000

河北三佳购物,http://share.xlangnan.cn:8189/rtp/239.254.200.143:6000
河北农民,http://share.xlangnan.cn:8189/rtp/239.254.200.23:6000
河北少儿科教,http://share.xlangnan.cn:8189/rtp/239.254.200.21:6000
河北影视剧频道,http://share.xlangnan.cn:8189/rtp/239.254.200.20:6000
河北经济生活,http://share.xlangnan.cn:8189/rtp/239.254.200.18:6000
河北都市频道,http://share.xlangnan.cn:8189/rtp/239.254.200.19:6000

CCTV-1综合,http://share.xlangnan.cn:8189/rtp/239.254.200.45:8008
CCTV-2财经,http://share.xlangnan.cn:8189/rtp/239.254.200.158:6000
CCTV-3综艺,http://share.xlangnan.cn:8189/rtp/239.254.201.152:7205
CCTV-4中文国际,http://share.xlangnan.cn:8189/rtp/239.254.200.190:6307
CCTV-4中文国际欧洲,http://share.xlangnan.cn:8189/rtp/239.254.201.205:4220
CCTV-4中文国际美洲,http://share.xlangnan.cn:8189/rtp/239.254.201.206:4220
CCTV-5体育,http://share.xlangnan.cn:8189/rtp/239.254.201.153:7206
CCTV-5+体育赛事,http://share.xlangnan.cn:8189/rtp/239.254.200.46:8004
CCTV-6电影,http://share.xlangnan.cn:8189/rtp/239.254.201.154:7207
CCTV-7国防军事,http://share.xlangnan.cn:8189/rtp/239.254.200.159:6000
